story_id	bytes	mb	ok	error
45530	770419	0.73	True	-
45531	925621	0.88	True	-
45532	770507	0.73	True	-
45533	925576	0.88	True	-
45534	770529	0.73	True	-
45535	1304589	1.24	True	-
45536	1234568	1.18	True	-
45537	1234535	1.18	True	-
45538	1304528	1.24	True	-
45539	1234570	1.18	True	-
45540	1121037	1.07	True	-
45541	838723	0.80	True	-
45542	1120980	1.07	True	-
45543	1120974	1.07	True	-
45544	1121091	1.07	True	-
45545	20459528	19.51	True	-
45546	19111884	18.23	True	-
45547	20459484	19.51	True	-
45548	20459523	19.51	True	-
45549	20459553	19.51	True	-
45550	4890235	4.66	True	-
45551	4125640	3.93	True	-
45552	4125619	3.93	True	-
45553	4890306	4.66	True	-
45554	4125661	3.93	True	-
45555	15043443	14.35	True	-
45556	10385811	9.90	True	-
45557	15043409	14.35	True	-
45558	15043458	14.35	True	-
45559	15043377	14.35	True	-
45560	10190874	9.72	True	-
45561	9922876	9.46	True	-
45562	10190792	9.72	True	-
45563	10190942	9.72	True	-
45564	10190921	9.72	True	-
45565	6816760	6.50	True	-
45566	7178400	6.85	True	-
45567	6816737	6.50	True	-
45568	6816721	6.50	True	-
45569	6816762	6.50	True	-
45570	10979609	10.47	True	-
45571	11986264	11.43	True	-
45572	10979519	10.47	True	-
45573	10979527	10.47	True	-
45574	10979569	10.47	True	-
45575	11332674	10.81	True	-
45576	2281967	2.18	True	-
45577	11332655	10.81	True	-
45578	11332690	10.81	True	-
45579	11332698	10.81	True	-
45580	30984640	29.55	True	-
45581	29843809	28.46	True	-
45582	30984602	29.55	True	-
45583	30984687	29.55	True	-
45584	30984605	29.55	True	-
45585	11816859	11.27	True	-
45586	8001743	7.63	True	-
45587	11816854	11.27	True	-
45588	11816880	11.27	True	-
45589	8001745	7.63	True	-
45590	13720527	13.08	True	-
45591	13442507	12.82	True	-
45592	13720581	13.08	True	-
45593	13720482	13.08	True	-
45594	13720561	13.08	True	-
45595	18636665	17.77	True	-
45596	17790393	16.97	True	-
45597	18636585	17.77	True	-
45598	18636601	17.77	True	-
45599	18636614	17.77	True	-
45600	6831136	6.51	True	-
45601	6920672	6.60	True	-
45602	6831084	6.51	True	-
45603	6831173	6.51	True	-
45604	6831127	6.51	True	-
45605	3082259	2.94	True	-
45606	2830090	2.70	True	-
45607	3082251	2.94	True	-
45608	3082272	2.94	True	-
45609	3082324	2.94	True	-
45610	1095616	1.04	True	-
45611	1354796	1.29	True	-
45612	1354768	1.29	True	-
45613	1354710	1.29	True	-
45614	1095524	1.04	True	-
45615	10851872	10.35	True	-
45616	9328691	8.90	True	-
45617	10851904	10.35	True	-
45618	10851894	10.35	True	-
45619	9328706	8.90	True	-
45620	6844570	6.53	True	-
45621	7456349	7.11	True	-
45622	7456319	7.11	True	-
45623	6844522	6.53	True	-
45624	6844501	6.53	True	-
45625	10132117	9.66	True	-
45626	10638350	10.15	True	-
45627	10132035	9.66	True	-
45628	10132095	9.66	True	-
45629	10132086	9.66	True	-
45630	1784110	1.70	True	-
45631	1872525	1.79	True	-
45632	1872557	1.79	True	-
45633	1872553	1.79	True	-
45634	1872520	1.79	True	-
45635	13007738	12.41	True	-
45636	13638575	13.01	True	-
45637	13007715	12.41	True	-
45638	13007741	12.41	True	-
45639	13007708	12.41	True	-
45640	3130275	2.99	True	-
45641	4623366	4.41	True	-
45642	3130302	2.99	True	-
45643	4623338	4.41	True	-
45644	4623385	4.41	True	-
45645	22203741	21.18	True	-
45646	24689521	23.55	True	-
45647	22203769	21.18	True	-
45648	24689466	23.55	True	-
45649	22203725	21.18	True	-
45650	15193054	14.49	True	-
45651	15191100	14.49	True	-
45652	15193089	14.49	True	-
45653	15193075	14.49	True	-
45654	15193052	14.49	True	-
45655	32969617	31.44	True	-
45656	36416650	34.73	True	-
45657	36416594	34.73	True	-
45658	36416544	34.73	True	-
45659	32969582	31.44	True	-
45660	7207325	6.87	True	-
45661	7140273	6.81	True	-
45662	7207376	6.87	True	-
45663	7207364	6.87	True	-
45664	7207369	6.87	True	-
45665	1323142	1.26	True	-
45666	1478785	1.41	True	-
45667	1323257	1.26	True	-
45668	1478749	1.41	True	-
45669	1323205	1.26	True	-
45670	13236512	12.62	True	-
45671	12917783	12.32	True	-
45672	12917757	12.32	True	-
45673	13236443	12.62	True	-
45674	12917838	12.32	True	-
45675	7000228	6.68	True	-
45676	9461041	9.02	True	-
45677	9460925	9.02	True	-
45678	7000404	6.68	True	-
45679	9460944	9.02	True	-
45680	761202	0.73	True	-
45681	912644	0.87	True	-
45682	761277	0.73	True	-
45683	761235	0.73	True	-
45684	761263	0.73	True	-
45685	5888937	5.62	True	-
45686	5424560	5.17	True	-
45687	5888885	5.62	True	-
45688	5888913	5.62	True	-
45689	5888844	5.62	True	-
45690	980634	0.94	True	-
45691	997641	0.95	True	-
45692	980594	0.94	True	-
45693	980560	0.94	True	-
45694	980585	0.94	True	-
45695	23354995	22.27	True	-
45696	23355037	22.27	True	-
45697	23354957	22.27	True	-
45698	23355031	22.27	True	-
45699	23355066	22.27	True	-
45700	12779638	12.19	True	-
45701	16453826	15.69	True	-
45702	16453855	15.69	True	-
45703	16453835	15.69	True	-
45704	12779633	12.19	True	-
45705	29078708	27.73	True	-
45706	26893612	25.65	True	-
